Word1,Word2,GloVe Cosine Similarity
lactic,bilirubin,0.27277014
lactic,gas,0.05704517
lactic,test,0.0012030915
lactic,count,-0.29456446
lactic,kidney,-0.02136565
lactic,panel,0.07539935
lactic,complete,-0.19865136
lactic,coagulation,0.017735112
lactic,lactic,1.0000001
lactic,glucose,0.1318222
glucose,protein,0.7072657
glucose,thyroid,0.033487715
glucose,lipid,0.24417429
glucose,acid,0.096072726
glucose,bilirubin,0.68257296
glucose,gas,-0.06007958
glucose,test,0.17077306
glucose,count,0.55571353
glucose,kidney,-0.13399036
glucose,panel,0.31633642
glucose,complete,0.033751354
glucose,coagulation,0.15513529
glucose,lactic,0.1318222
glucose,glucose,1.0
schizophrenia,diazepam,0.25579238
schizophrenia,aspirin,0.018276382
schizophrenia,warfarin,0.108094834
schizophrenia,insulin,0.03879986
schizophrenia,metformin,0.112478994
schizophrenia,clopidogrel,-0.02161455
schizophrenia,atorvastatin,0.0021164773
schizophrenia,prednisone,0.10900154
schizophrenia,heparin,-0.06728997
schizophrenia,ciprofloxacin,-0.098448515
cancer,diazepam,0.049145587
cancer,aspirin,0.12843578
cancer,warfarin,0.121686466
cancer,insulin,0.28768444
cancer,metformin,0.1805687
cancer,clopidogrel,-0.05183907
cancer,atorvastatin,0.050167292
cancer,prednisone,0.14086343
cancer,heparin,0.017013045
cancer,ciprofloxacin,0.09445955
myocardial,diazepam,-0.08561995
myocardial,aspirin,-0.002131111
myocardial,warfarin,-0.0050601796
myocardial,insulin,0.13789828
myocardial,metformin,0.013248576
myocardial,clopidogrel,-0.20932266
myocardial,atorvastatin,-0.16965692
myocardial,prednisone,-0.21667643
myocardial,heparin,0.041767187
myocardial,ciprofloxacin,-0.23656145
heart,diazepam,0.11849154
heart,aspirin,0.29064873
heart,warfarin,0.24332798
heart,insulin,0.3333583
heart,metformin,0.17796525
heart,clopidogrel,0.047410756
heart,atorvastatin,0.14604144
heart,prednisone,0.10772717
heart,heparin,0.15214935
heart,ciprofloxacin,0.039501343
pneumonia,diazepam,0.007227434
pneumonia,aspirin,0.14441879
pneumonia,warfarin,0.104856364
pneumonia,insulin,0.06749179
pneumonia,metformin,0.09029597
pneumonia,clopidogrel,0.07101693
pneumonia,atorvastatin,0.09160612
pneumonia,prednisone,0.20535325
pneumonia,heparin,0.030676475
pneumonia,ciprofloxacin,-0.030999172
alzheimer,diazepam,-0.14159185
alzheimer,aspirin,-0.18792915
alzheimer,warfarin,-0.09709793
alzheimer,insulin,-0.035997994
alzheimer,metformin,-0.15056428
